IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.204.12.240,443,443,true,FRA,Europe,Frankfurt,173,10.41
35.234.68.60,443,443,true,FRA,Europe,Frankfurt,191,10.40
34.141.236.235,443,443,true,FRA,Europe,Frankfurt,183,10.39
34.118.55.40,443,443,true,FRA,Europe,Frankfurt,189,10.39
34.91.91.210,443,443,true,FRA,Europe,Frankfurt,180,10.39
34.65.19.230,443,443,true,FRA,Europe,Frankfurt,176,10.39
34.65.167.176,443,443,true,FRA,Europe,Frankfurt,172,10.38
34.90.66.225,443,443,true,FRA,Europe,Frankfurt,178,10.37
34.65.133.188,443,443,true,FRA,Europe,Frankfurt,176,10.37
34.91.91.210,443,443,true,FRA,Europe,Frankfurt,198,10.37
34.34.51.194,443,443,true,FRA,Europe,Frankfurt,174,10.37
34.141.51.251,443,443,true,FRA,Europe,Frankfurt,173,10.36
34.159.30.150,443,443,true,FRA,Europe,Frankfurt,177,10.36
34.154.143.132,443,443,true,FRA,Europe,Frankfurt,177,10.34
34.90.185.80,443,443,true,FRA,Europe,Frankfurt,161,10.33
34.154.57.166,443,443,true,FRA,Europe,Frankfurt,178,10.33
34.32.232.90,443,443,true,FRA,Europe,Frankfurt,179,10.33
34.118.112.163,443,443,true,FRA,Europe,Frankfurt,178,10.33
34.154.173.38,443,443,true,FRA,Europe,Frankfurt,168,10.33
34.91.141.104,443,443,true,FRA,Europe,Frankfurt,182,10.32
35.242.239.61,443,443,true,FRA,Europe,Frankfurt,182,10.31
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,191,10.28
34.65.198.87,443,443,true,EWR,North America,Newark,174,10.28
34.91.67.64,443,443,true,FRA,Europe,Frankfurt,180,10.27
34.65.59.26,443,443,true,FRA,Europe,Frankfurt,171,10.25
34.90.88.12,443,443,true,FRA,Europe,Frankfurt,161,10.23
34.91.83.51,443,443,true,FRA,Europe,Frankfurt,172,10.22
34.34.24.107,443,443,true,FRA,Europe,Frankfurt,175,10.21
34.118.42.177,443,443,true,FRA,Europe,Frankfurt,187,10.21
34.65.78.7,443,443,true,FRA,Europe,Frankfurt,174,10.20
34.65.154.40,443,443,true,FRA,Europe,Frankfurt,174,10.19
34.118.67.168,443,443,true,FRA,Europe,Frankfurt,188,10.19
34.91.250.0,443,443,true,FRA,Europe,Frankfurt,233,10.18
35.204.214.60,443,443,true,FRA,Europe,Frankfurt,176,10.17
34.141.10.79,443,443,true,FRA,Europe,Frankfurt,166,10.16
35.197.23.75,443,443,true,SEA,North America,Seattle,157,10.15
34.154.3.87,443,443,true,FRA,Europe,Frankfurt,179,10.15
34.65.181.153,443,443,true,FRA,Europe,Frankfurt,163,10.14
34.65.174.156,443,443,true,FRA,Europe,Frankfurt,173,10.14
34.116.171.235,443,443,true,FRA,Europe,Frankfurt,173,10.13
34.91.83.51,443,443,true,FRA,Europe,Frankfurt,184,10.11
34.116.132.141,443,443,true,FRA,Europe,Frankfurt,180,10.11
34.116.248.189,443,443,true,FRA,Europe,Frankfurt,200,10.10
34.65.5.18,443,443,true,FRA,Europe,Frankfurt,173,10.07
34.91.146.141,443,443,true,FRA,Europe,Frankfurt,190,10.07
34.91.231.89,443,443,true,FRA,Europe,Frankfurt,175,10.07
34.154.107.139,443,443,true,FRA,Europe,Frankfurt,187,10.06
35.204.203.40,443,443,true,FRA,Europe,Frankfurt,176,10.05
34.65.190.252,443,443,true,AMS,Europe,Amsterdam,175,10.05
34.154.176.30,443,443,true,FRA,Europe,Frankfurt,178,10.04
34.32.255.76,443,443,true,FRA,Europe,Frankfurt,187,10.04
